,Unnamed: 0,Unnamed: 0.1,angDist,TIC,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,r_Plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,q_2MASS,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,rho,s_rho,LClass,Lum,s_Lum,Dist,s_Dist,E(B-V),s_E(B-V),Ncont,Rcont,Disp,m_TIC,Prior,e_E(B-V),E_E(B-V),f_E(B-V),e_Mass,E_Mass,e_Rad,E_Rad,e_rho,E_rho,e_logg,E_logg,e_Lum,E_Lum,e_Dist,E_Dist,r_Dist,e_Teff,E_Teff,r_Teff,BPmag,e_BPmag,RPmag,e_RPmag,q_Gaia,r_Vmag,r_Bmag,Clist,e_RAJ2000,e_DEJ2000,RAOdeg,DEOdeg,e_RAOdeg,e_DEOdeg,RadFl,WDFl,ID,angDist.1,_RAJ2000,_DEJ2000,OID,n_OID,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,l_Period,Period,u_Period,Sp,RAJ2000.1,DEJ2000.1,_RAJ2000.1,_DEJ2000.1,TYC1,TYC2,VTMAG,Dist.1,X,Y,Z,AVe,AVg,AV,RAJ2000.2,DEJ2000.2
0,0,4,0.18034,93549165,130.07332586967,-52.92191042332,130.07299999999998,-52.922,90,42536.0,8569-04018-1,186-020399,08401759-5255190,,J084017.56-525518.6,5.318547273545668e+18,26281240.0,,STAR,tmgaia2,tmgaia2,-30.563000000000002,0.7809999999999999,21.426,0.763,gaia2,6.5915,0.4077,gaia2,3.415,0.021,3.6,0.03,,,,,,,,,,,4.0710000000000015,0.25,4.019,0.2019999999999999,4.1419999999999995,0.272,DCD-333-111-000-0-0,4.086,0.365,3.826,0.2319999999999999,4.197,0.0139999999999999,4.141,0.022000000000000002,3.5776800000000004,0.013481,3.862,0.015,rered,gaia2,,,,,,,,,,,,,,,,152.165,9.7385,0.0696,0.0041,,,,,,0.0039,0.0044,schlegel,,,,,,,,,,,9.127,10.35,bj2018,,,,3.47591,3.47592,3.8261300000000014,0.008268000000000001,1.0,hipvmag,tycho2b3,,13.527514728669999,11.83797441395,130.07310761142,-52.92181817269,0.33998927521,0.38607977544,-1.0,0.0,649835497,0.11433800000000001,130.07325,-52.92189000000001,37807,B,omi Vel,0,SPB,,3.57,,V,,,3.63,,V,,2.79759,,B3III-IV,130.07325,-52.92189000000001,130.0733,-52.9219,8569,4018,-0.39,59,0,-59,-7,0.06,0.01,0.07,130.0733,-52.9219
1,1,6,0.059216,396592990,214.07013229375,-72.61327486401,214.07,-72.613,90,,9252-01332-1,087-040788,14161683-7236477,,J141616.83-723647.8,5.797381632505768e+18,34136774.0,,STAR,tmgaia2,tmgaia2,-3.448,0.048,-4.27,0.05,gaia2,1.1693,0.0286,gaia2,9.613999999999999,0.0409999999999999,9.607999999999999,0.004,,,,,,,,,,,9.363,0.024,9.373,0.023,9.357000000000001,0.019,AAA-222-111-000-0-0,9.347999999999999,0.023,9.392000000000001,0.019,9.333,0.034,8.679,,9.53795,0.00049,9.503,0.006,rered,gaia2,10375.0,225.2,3.6489,0.0617,,,4.0539999999999985,0.129,2.67,0.3429999999999999,0.0401,0.0062,DWARF,171.53258,15.85705,835.1619999999999,20.102999999999998,0.1504,0.0103,1071.0,0.0409,,,0.000459,0.009000000000000001,0.0116,schlegel,0.365,0.32,0.139,0.12,0.0068,0.0057,0.0661,0.0573,17.3437,14.3704,19.628,20.578000000000003,bj2018,211.4,239.1,dered,9.59414,0.001267,9.44785,0.001517,1.0,tycho2v3,tycho2b3,,0.91555016249,0.7676631415299999,214.07008261167,-72.61329324986,0.024974521800000003,0.0243659924399999,1.0,0.0,895924074,0.075146,214.07008,-72.61328,476860,B,HD 124269,0,ACV,,9.61,,V,,,9.63,,V,,3.5433,,B8pSi,214.07008,-72.61328,214.0701,-72.6133,9252,1332,-0.09,658,409,-501,-123,0.4,0.14,0.54,214.0701,-72.6133
2,2,9,0.047769,457999152,158.88902439553001,-56.71122290771,158.889,-56.71100000000001,90,,8609-01331-1,167-045761,10353337-5642403,,J103533.72-564241.0,5.352045372769124e+18,27949003.0,,STAR,tmgaia2,tmgaia2,-11.477,0.0819999999999999,5.043,0.084,gaia2,1.0985,0.0512,gaia2,10.142000000000001,0.053,10.057,0.005,,,,,,,,,,,10.068,0.027000000000000003,10.125,0.044000000000000004,10.191,0.037000000000000005,AAA-222-111-000-0-0,9.807,0.017,9.863999999999999,0.016,10.113,0.15,8.513,0.36200000000000004,10.0914,0.0016,10.151,0.012,rered,gaia2,,,,,,,,,,,,,,,,889.263,40.927,0.2587,0.0109,,,,,,0.0105,0.0114,schlegel,,,,,,,,,,,39.08,42.773999999999994,bj2018,,,,10.1092,0.003628,10.0695,0.0056700000000000006,1.0,tycho2v3,tycho2b3,,1.44267860771,1.3005152089899998,158.88893436200001,-56.71120119556,0.04209746165,0.04310845659,-1.0,0.0,720847647,0.069352,158.88903,-56.711209999999994,409864,B,HD 300860,0,ACV,,10.08,,V,,,10.16,,V,,2.59009,,A2pSi,158.88903,-56.711209999999994,158.889,-56.7112,8609,1331,-0.27,758,197,-732,18,0.69,0.16,0.84,158.889,-56.7112
3,3,10,0.066366,333935139,116.41594189111,-16.97682368572,116.416,-16.977,90,,5985-02329-1,366-035049,07453982-1658365,,J074539.82-165836.5,5.718776618518647e+18,8050535.0,,STAR,tmgaia2,tmgaia2,-1.95,0.06,2.055,0.059000000000000004,gaia2,1.376,0.0453,gaia2,9.681000000000001,0.037000000000000005,9.654,0.004,,,,,,,,,,,9.566,0.022000000000000002,9.601,0.024,9.594,0.023,AAA-222-111-000-0-0,9.586,0.021,9.628,0.018000000000000002,9.698,0.04,8.822000000000003,,9.64395,0.000393,9.645,0.0069999999999999,rered,gaia2,9629.0,140.7,3.845,0.0702,,,3.0980000000000003,0.125,2.45,0.3379999999999999,0.0824,0.0154,DWARF,74.34345,6.366619999999998,712.672,23.186,0.034,0.0052,701.0,0.0488,,,5.2000000000000004e-05,0.0047,0.0057,panstarrs,0.243,0.433,0.14800000000000002,0.102,0.0128,0.018000000000000002,0.0567,0.0838,6.7773699999999995,5.95587,22.445999999999998,23.926,bj2018,107.7,173.7,dered,9.67085,0.0008990000000000001,9.612630000000001,0.000863,1.0,tycho2v3,tycho2b3,,0.9363119289299999,0.91151463862,116.41593311148,-16.97681483689,0.02851104869,0.02954316562,1.0,0.0,609563824,0.233114,116.41596000000001,-16.97683,476981,B,HD 62905,0,ACV,,9.66,,V,,,9.68,,V,,16.836,,A2pEuCr,116.41596000000001,-16.97683,116.4159,-16.9768,5985,2329,0.29,576,-336,-466,38,0.38,0.12,0.5,116.4159,-16.9768
4,4,12,0.0350959999999999,410519525,243.86007925784,-52.920699738500005,243.86,-52.92100000000001,90,,8711-00191-1,186-141489,16152643-5255145,,J161526.43-525514.6,5.933103183245153e+18,24895348.0,,STAR,tmgaia2,tmgaia2,-0.368,0.064,-4.056,0.051,gaia2,0.6872,0.0511,gaia2,8.922,0.033,8.765,0.003,,,,,,,,,,,8.209,0.019,8.186,0.031,8.212,0.021,AAA-111-111-000-0-0,8.073,0.023,8.128,0.019,8.076,0.035,7.356,0.157,8.667530000000001,0.00039,8.603,0.039,rered,gaia2,,,,,,,,,,,,,,,,1403.85,103.615,0.6397,0.0406,,,,,,0.0381,0.0431,schlegel,,,,,,,,,,,96.15,111.08,bj2018,,,,8.79866,0.0012289999999999,8.44024,0.001384,1.0,tycho2v3,tycho2b3,,1.1071114209100001,0.7930580717,243.86007662903998,-52.92071720380999,0.04040592626,0.023743889980000002,-1.0,0.0,1049093745,0.05639500000000001,243.86007999999998,-52.92069,20309,B,V0349 Nor,0,BCEP,,8.76,,V,Y,,0.012,,V,,0.159909,,B1V,243.86007999999998,-52.92069,243.8601,-52.9207,8711,191,1.22,243,212,-118,-6,0.32,0.25,0.57,243.8601,-52.9207
5,5,27,0.037631,133146568,120.68658730213001,-41.3098211015,120.68700000000001,-41.31,90,39360.0,7667-05593-1,244-022508,08024478-4118354,,,5.534386628753751e+18,20108618.0,,STAR,tmgaia2,tmgaia2,-4.188,0.17,14.043,0.233,gaia2,6.9999,0.1005,gaia2,6.1110000000000015,0.0,5.52,0.03,,,,,,,,,,,5.7589999999999995,0.023,5.862,0.049,5.831,0.017,AAA-111-111-000-0-0,,,,,,,,,5.4865699999999995,0.002082,5.659,0.0069999999999999,rered,gaia2,,,,,,,,,,,,,,,,142.325,2.052,0.1133,0.0015,,,,,,0.0015,0.0016,schlegel,,,,,,,,,,,2.023,2.081,bj2018,,,,5.4240900000000005,0.002227,5.59986,0.002914,1.0,hipvmag,apassdr9,,2.81965554497,3.6066206736199997,120.68656329668998,-41.30976063988,0.08325004164,0.12428767598,-1.0,0.0,622819813,0.1207849999999999,120.68658,-41.30983,26938,B,V0336 Pup,0,ACV,,5.52,,V,Y,,0.022000000000000002,,V,,1.9984,,ApSi,120.68658,-41.30983,120.6866,-41.3098,7667,5593,-0.49,144,-32,-139,-14,0.14,0.02,0.16,120.6866,-41.3098
7,7,52,0.011361,348238565,120.80856836212,-16.29952726372,120.809,-16.3,90,39397.0,5995-00450-1,369-042104,08031405-1617583,,J080314.04-161758.3,5.724158105157026e+18,8135265.0,,STAR,tmgaia2,tmgaia2,-6.007999999999999,0.069,1.186,0.057,gaia2,1.3730000000000002,0.05,gaia2,8.954,0.0,9.09,0.03,,,,,,,,,,,9.272,0.0289999999999999,9.312999999999999,0.021,9.336,0.023,AAA-222-111-000-0-0,9.344,0.023,9.386000000000001,0.02,9.455,0.059000000000000004,8.01,,9.05638,0.0007440000000000001,9.173,0.0069999999999999,rered,gaia2,12919.0,144.0,,,,,,,,,,,,,,714.324,25.745,0.021,0.0029,,,,,,0.0021,0.0036,panstarrs,,,,,,,,,,,24.835,26.655,bj2018,,,dered,9.01931,0.001917,9.143410000000001,0.0016879999999999,1.0,hipvmag,apassdr9,,1.0801326629999999,0.88770817979,120.8085414091,-16.299522158370007,0.03300580357,0.027603733050000002,-1.0,0.0,623096880,0.149697,120.80856999999999,-16.299529999999994,305329,B,HIP 39397,0,SPB,,9.07,,V,,,9.11,,V,,1.21331,,B5III,120.80856999999999,-16.299529999999994,120.8086,-16.2995,5995,450,-0.83,762,-425,-624,103,0.35,0.09,0.43,120.8086,-16.2995
8,8,54,0.0387389999999999,465374606,163.0417830352,-59.955160652859995,163.042,-59.955,90,,8626-01584-1,151-060794,10521002-5957185,,J105210.02-595718.6,5.338294846024424e+18,28035067.0,,STAR,tmgaia2,tmgaia2,-6.513,0.061,2.149,0.053,gaia2,0.3629,0.04,gaia2,9.064,0.034,9.021,0.003,,,,,,,,,,,8.841000000000003,0.021,8.847000000000003,0.038,8.905,0.023,AAA-112-111-000-0-0,8.867,0.023,8.866,0.02,8.251,0.031,6.056,0.1009999999999999,8.983039999999997,0.00065,9.006,0.0289999999999999,rered,gaia2,,,,,,,,,,,,,,,,2560.6299,273.685,0.3145,0.0308,,,,,,0.0279,0.0337,schlegel,,,,,,,,,,,245.54,301.83,bj2018,,,,9.01931,0.0017109999999999,8.9073,0.002107,1.0,tycho2v3,tycho2b3,,1.0839991226299999,0.8145983576100001,163.04172702616,-59.955151400359995,0.0319598178,0.0304925379399999,-1.0,0.0,733357632,0.183574,163.04178000000005,-59.95515,225483,B,HD 94345,0,BCEP,,9.0,,V,Y,,0.019,,V,,0.193486,,B0/1IV,163.04178000000005,-59.95515,163.0418,-59.9552,8626,1584,0.16,437,139,-415,-4,0.47,0.12,0.59,163.0418,-59.9552
10,10,58,0.017232,93723398,130.3873649825,-48.02518343620999,130.387,-48.025,90,,8155-02086-1,210-027047,08413296-4801305,,J084132.95-480130.6,5.329121203841992e+18,22613023.0,,STAR,tmgaia2,tmgaia2,-5.541,0.054000000000000006,4.84,0.06,gaia2,0.4302,0.0331,gaia2,9.449,0.038,9.383,0.004,,,,,,,,,,,8.916,0.02,8.948,0.059000000000000004,8.917,0.019,AAA-112-111-000-0-0,8.887,0.022000000000000002,8.943999999999997,0.02,8.915,0.032,7.254,0.091,9.24355,0.0021,9.24,0.022000000000000002,rered,gaia2,,,,,,,,,,,,,,,,2184.6299,162.42,0.5591,0.0225,,,,,,0.0218,0.0232,schlegel,,,,,,,,,,,150.66,174.18,bj2018,,,,9.3306,0.007206000000000001,9.08802,0.01001,1.0,tycho2v3,tycho2b3,,0.92353209375,0.93077547922,130.387329314,-48.02516259608,0.0254656203199999,0.03567754681,-1.0,0.0,649861381,0.120246,130.38736,-48.02518,225457,B,HD 74339,0,BCEP,,9.28,,V,,,9.35,,V,,0.19156600000000001,,B2/B3II/III,130.38736,-48.02518,130.3874,-48.0252,8155,2086,0.95,397,-24,-396,-25,0.36,0.03,0.4,130.3874,-48.0252
11,11,72,0.071872,233493049,235.4475600615,12.84752599792,235.44799999999998,12.847999999999999,90,76866.0,0937-01118-1,515-059208,15414741+1250511,,J154147.44+125051.2,1.1909271591094154e+18,,,STAR,tmgaia2,tmgaia2,39.374,0.267,-2.889,0.28300000000000003,gaia2,14.5505,0.1326,gaia2,5.345,0.022000000000000002,5.3210000000000015,0.023,,,,,,,,,,,5.183,0.02,5.234,0.021,5.2010000000000005,0.02,AAA-111-111-000-0-0,5.2360000000000015,0.1369999999999999,5.066,0.046,5.2639999999999985,0.016,5.2170000000000005,0.04,5.32063,0.002859,5.325,0.0069999999999999,gbprp,gaia2,9319.0,133.9,4.1366,0.062,,,2.178,0.059000000000000004,2.37,0.307,0.2293,0.0358,DWARF,32.24028,1.5151299999999999,68.6002,0.6288,0.0,0.0,64.0,0.0002,,,0.002623,0.0,0.0,,0.275,0.3379999999999999,0.037000000000000005,0.0819999999999999,0.043,0.0286,0.0687,0.0554,1.25873,1.7715299999999998,0.6232,0.6345,bj2018,137.7,130.0,dered0,5.34172,0.003737,5.29652,0.003979,1.0,sirful,tycho2b3,,4.16465132035,4.38972704448,235.44773394017002,12.84751355733,0.12074951734000001,0.1089219724099999,1.0,0.0,156392617,0.236671,235.44754,12.84753,34972,B,khi Ser,0,ACV,,5.33,,V,Y,,0.03,,V,,1.59584,,A0p(Sr-Cr-Eu),235.44754,12.84753,235.4476,12.8475,937,1118,1.22,61,38,15,45,0.06,0.09,0.15,235.4476,12.8475
